ISSUER NAME	CLASS TITLE	CUSIP	VALUE ($thousands)	INVESTMENT DISCRETION	SHRS or PRN AMOUNT	SH or PRN	VOTING AUTH SOLE	VOTING AUTH SHARED	VOTING AUTH NONE
MERCK  CO INC	COM	58933Y105	1130	SOLE	14787	SH	8400	0	6387
ISHARES TR	US HOME CONS ETF	464288752	856	SOLE	28484	SH	22836	0	5648
SWEDISH EXPT CR CORP	ROG TTL ETN 22	870297801	278	SOLE	56917	SH	56537	0	380
ADVISORSHARES TR	RANGER EQUITY BE	00768Y883	229	SOLE	27110	SH	0	0	27110
ISHARES TR	MIN VOL USA ETF	46429B697	1328	SOLE	25348	SH	25348	0	0
AMAZON COM INC	COM	023135106	862	SOLE	574	SH	547	0	27
JPMORGAN CHASE  CO	COM	46625H100	406	SOLE	4158	SH	3896	0	262
WISDOMTREE TR	BLMBG US BULL	97717W471	747	SOLE	27615	SH	27426	0	189
UNITEDHEALTH GROUP INC	COM	91324P102	711	SOLE	2854	SH	2794	0	60
BOEING CO	COM	097023105	321	SOLE	995	SH	520	0	475
TESLA INC	COM	88160R101	333	SOLE	1000	SH	1000	0	0
INVESCO QQQ TR	UNIT SER 1	46138E354	1516	SOLE	9829	SH	9636	0	193
MAGELLAN MIDSTREAM PRTNRS LP	COM UNIT RP LP	559080106	292	SOLE	5110	SH	0	0	5110
COLGATE PALMOLIVE CO	COM	194162103	1176	SOLE	19752	SH	19742	0	10
COCA COLA CO	COM	191216100	897	SOLE	18934	SH	10404	0	8530
AGILE THERAPEUTICS INC	COM	00847L100	6	SOLE	10000	SH	10000	0	0
VANGUARD INDEX FDS	GROWTH ETF	922908736	432	SOLE	3214	SH	45	0	3169
SCHWAB STRATEGIC TR	US AGGREGATE B	808524839	7575	SOLE	149742	SH	123409	0	26333
ORACLE CORP	COM	68389X105	1151	SOLE	25495	SH	16240	0	9255
ISHARES TR	USA MOMENTUM FCT	46432F396	254	SOLE	2531	SH	2531	0	0
ZOETIS INC	CL A	98978V103	1039	SOLE	12142	SH	8573	0	3569
INVESCO EXCHANGE TRADED FD T	SP500 EQL WGT	46137V357	1004	SOLE	10988	SH	10914	0	74
MASTERCARD INCORPORATED	CL A	57636Q104	870	SOLE	4613	SH	4553	0	60
VANGUARD INDEX FDS	VALUE ETF	922908744	718	SOLE	7326	SH	65	0	7261
PFIZER INC	COM	717081103	1111	SOLE	25459	SH	23937	0	1522
PIMCO ETF TR	INV GRD CRP BD	72201R817	1266	SOLE	12778	SH	12698	0	80
SCHWAB STRATEGIC TR	US REIT ETF	808524847	662	SOLE	17184	SH	17068	0	116
BIG LOTS INC	COM	089302103	721	SOLE	24944	SH	21294	0	3650
SCHWAB STRATEGIC TR	US SML CAP ETF	808524607	908	SOLE	14969	SH	14870	0	99
BECTON DICKINSON  CO	COM	075887109	810	SOLE	3595	SH	3485	0	110
TWENTY FIRST CENTY FOX INC	CL A	90130A101	235	SOLE	4885	SH	0	0	4885
ABBVIE INC	COM	00287Y109	245	SOLE	2652	SH	2637	0	15
PACER FDS TR	US CASH COWS 100	69374H881	372	SOLE	14471	SH	13919	0	552
BANK AMER CORP	COM	060505104	386	SOLE	15669	SH	14363	0	1306
OMNICOM GROUP INC	COM	681919106	326	SOLE	4447	SH	4294	0	153
BROWN FORMAN CORP	CL B	115637209	698	SOLE	14669	SH	12027	0	2642
JOHNSON  JOHNSON	COM	478160104	1506	SOLE	11673	SH	7066	0	4607
INVESCO EXCHNG TRADED FD TR	PFD ETF	46138E511	1910	SOLE	141827	SH	105390	0	36437
PEPSICO INC	COM	713448108	233	SOLE	2105	SH	2025	0	80
SPDR GOLD TRUST	GOLD SHS	78463V107	215	SOLE	1774	SH	74	0	1700
UNITED PARCEL SERVICE INC	CL B	911312106	32458	SOLE	332802	SH	260444	0	72358
INVESCO EXCHNG TRADED FD TR	SP500 LOW VOL	46138E354	1049	SOLE	22487	SH	21907	0	580
EXELON CORP	COM	30161N101	222	SOLE	4920	SH	4900	0	20
PROCTER AND GAMBLE CO	COM	742718109	944	SOLE	10273	SH	8091	0	2182
BLACKROCK ENHANCED INTL DIV	COM BENE INTER	092524107	94	SOLE	18805	SH	18805	0	0
ISHARES TR	RUSSELL 2000 ETF	464287655	366	SOLE	2736	SH	274	0	2462
WALGREENS BOOTS ALLIANCE INC	COM	931427108	938	SOLE	13722	SH	13629	0	93
AUTOMATIC DATA PROCESSING IN	COM	053015103	463	SOLE	3531	SH	3469	0	62
PRICE T ROWE GROUP INC	COM	74144T108	650	SOLE	7040	SH	7030	0	10
CVS HEALTH CORP	COM	126650100	469	SOLE	7166	SH	7018	0	148
NORFOLK SOUTHERN CORP	COM	655844108	453	SOLE	3032	SH	3012	0	20
COMCAST CORP NEW	CL A	20030N101	711	SOLE	20889	SH	2398	0	18491
ISHARES TR	NATIONAL MUN ETF	464288414	204	SOLE	1870	SH	0	0	1870
DICKS SPORTING GOODS INC	COM	253393102	344	SOLE	11040	SH	10946	0	94
SELECT SECTOR SPDR TR	SBI CONS STPLS	81369Y308	814	SOLE	16029	SH	12838	0	3191
WESTERN GAS PARTNERS LP	COM UNIT LP IN	958254104	305	SOLE	7220	SH	0	0	7220
UNITED STATES OIL FUND LP	UNITS	91232N108	109	SOLE	11333	SH	11333	0	0
VIVEVE MED INC	COM NEW	92852W204	16	SOLE	14895	SH	0	0	14895
WELLS FARGO CO NEW	COM	949746101	255	SOLE	5541	SH	746	0	4795
ISHARES TR	DOW JONES US ETF	464287846	611	SOLE	4907	SH	4907	0	0
UNION PAC CORP	COM	907818108	462	SOLE	3344	SH	3265	0	79
ENTERPRISE PRODS PARTNERS L	COM	293792107	322	SOLE	13080	SH	0	0	13080
SPDR INDEX SHS FDS	DJ GLB RL ES ETF	78463X749	318	SOLE	7175	SH	352	0	6823
ISHARES TR	MSCI EAFE ETF	464287465	933	SOLE	15866	SH	1415	0	14451
APPLE INC	COM	037833100	1772	SOLE	11233	SH	10887	0	346
ATT INC	COM	00206R102	411	SOLE	14398	SH	5876	0	8522
INTERNATIONAL BUSINESS MACHS	COM	459200101	1002	SOLE	8818	SH	6638	0	2180
CANADIAN NATL RY CO	COM	136375102	362	SOLE	4888	SH	4888	0	0
