ISSUER NAME	CLASS TITLE	CUSIP	VALUE ($thousands)	INVESTMENT DISCRETION	SHRS or PRN AMOUNT	SH or PRN	VOTING AUTH SOLE	VOTING AUTH SHARED	VOTING AUTH NONE
DEERE  CO	com	244199105	1159050	SOLE	7770	SH	0	0	0
DIAGEO PLC SPONSORED ADR	com	25243q205	4023716	SOLE	28376	SH	0	0	0
EAGLE MATERIALS INC	com	26969p108	533097	SOLE	8735	SH	0	0	0
ELITE PHARMACEUTICALS	com	28659t200	4494	SOLE	60000	SH	0	0	0
EXXON MOBIL CORP	com	30231G102	408730	SOLE	5994	SH	0	0	0
FACEBOOK INC	com	30303m102	21819930	SOLE	166450	SH	0	0	0
FERRARI	com	N3167Y103	228712	SOLE	2300	SH	0	0	0
FISERV INC	com	337738108	307188	SOLE	4180	SH	0	0	0
FORD MOTOR COMPANY	com	345370860	273678	SOLE	35775	SH	0	0	0
GENERAL DYNAMICS CORP	com	369550108	1226238	SOLE	7800	SH	0	0	0
GENERAL MOTORS CORP	com	37045V100	1528665	SOLE	45700	SH	0	0	0
HCA HOLDINGS, INC.	com	40412c101	211565	SOLE	1700	SH	0	0	0
HOME DEPOT INC.	com	437076102	16123245	SOLE	93838	SH	0	0	0
HONEYWELL INT'L INC	com	438516106	5078692	SOLE	38440	SH	0	0	0
HUNTINGTON BANCSHARES	com	446150104	154960	SOLE	13000	SH	0	0	0
ICAHN ENTERPRISES LP	com	451100101	5102048	SOLE	89384	SH	0	0	0
ILLINOIS TOOL WORKS	com	452308109	456084	SOLE	3600	SH	0	0	0
INTEL CORP	com	458140100	3464841	SOLE	73830	SH	0	0	0
ISHARES CORE SP MIDCAP ETF	com	464287507	1150795	SOLE	6930	SH	0	0	0
ISHARES MSCI EAFE ETF	com	464287465	1651130	SOLE	28090	SH	0	0	0
ISHARES MSCI EMERGING MKTS ETF 	com	464287234	1269450	SOLE	32500	SH	0	0	0
ISHARES NASDAQ BIOTECH INDEX	com	464287556	283504	SOLE	2940	SH	0	0	0
ISHARES TRUST RUSSELL 2000 INDEX FUND	com	464287655	360726	SOLE	2694	SH	0	0	0
ISHARES TRUST RUSSELL MIDCAP INDEX	com	464287499	213808	SOLE	4600	SH	0	0	0
JOHNSON  JOHNSON	com	478160104	19313991	SOLE	149662	SH	0	0	0
JPMORGAN CHASE  CO	com	46625H100	28948527	SOLE	296543	SH	0	0	0
LENNAR CORP	com	526057104	1338930	SOLE	34200	SH	0	0	0
LKQ CORP	com	501889208	640710	SOLE	27000	SH	0	0	0
MACQUARIE INFRASTRUCTURE CO	com	55608b105	11555336	SOLE	316065	SH	0	0	0
MERCK  CO INC	com	58933y105	4306467	SOLE	56360	SH	0	0	0
MICROSOFT CORP	com	594918104	2254752	SOLE	22199	SH	0	0	0
MONDELEZ INTERNATIONAL INC	com	609207105	315996	SOLE	7894	SH	0	0	0
MOODY'S CORPORATION	com	615369105	374607	SOLE	2675	SH	0	0	0
MSCI INC.	com	55354g100	243259	SOLE	1650	SH	0	0	0
NEXTERA ENERGY INC	com	65339F101	1352319	SOLE	7780	SH	0	0	0
NOBLE ENERGY INC	com	655044105	1306371	SOLE	69636	SH	0	0	0
ORACLE CORP	com	68389X105	5404048	SOLE	119691	SH	0	0	0
PEPSICO INC	com	713448108	496165	SOLE	4491	SH	0	0	0
PFIZER INC	com	717081103	29047416	SOLE	665462	SH	0	0	0
PHILIP MORRIS INT'L	com	718172109	546297	SOLE	8183	SH	0	0	0
PJT PARTNERS INC	com	69343t107	849580	SOLE	21919	SH	0	0	0
PROCTER  GAMBLE CO	com	742718109	670464	SOLE	7294	SH	0	0	0
RALPH LAUREN CORP	com	751212101	486262	SOLE	4700	SH	0	0	0
RAYTHEON CO	com	755111507	14440202	SOLE	94165	SH	0	0	0
SHERWIN WILLIAMS CO	com	824348106	3108334	SOLE	7900	SH	0	0	0
STRYKER CORPORATION	com	863667101	10248315	SOLE	65380	SH	0	0	0
TEXTRON INC	com	883203101	1666079	SOLE	36227	SH	0	0	0
THE BLACKSTONE GROUP L.P.	com	09253u108	17019691	SOLE	570939	SH	0	0	0
TITAN INTERNATIONAL INC 	com	88830M102	12947912	SOLE	2778522	SH	0	0	0
UNION PACIFIC CORP	com	907818108	276460	SOLE	2000	SH	0	0	0
UNITED TECHNOLOGIES CORP 	com	913017109	4107678	SOLE	38577	SH	0	0	0
VANGUARD FTSE EMERGING MKTS ETF	com	922042858	442379	SOLE	11611	SH	0	0	0
VANGUARD LARGE-CAP ETF 	com	922908637	337228	SOLE	2936	SH	0	0	0
VANGUARD MID-CAP ETF	com	922908629	1845808	SOLE	13358	SH	0	0	0
VANGUARD SMALL-CAP ETF	com	922908751	6510274	SOLE	49324	SH	0	0	0
VANGUARD TOTAL STOCK MKT ETF	com	922908769	319075	SOLE	2500	SH	0	0	0
VISA INC CLASS A	com	92826c839	15617737	SOLE	118370	SH	0	0	0
WHIRLPOOL CORP	com	963320106	1314501	SOLE	12300	SH	0	0	0
WISCONSIN ENERGY CORP	com	976657106	277040	SOLE	4000	SH	0	0	0
XPO LOGISTICS	com	983793100	16210254	SOLE	284191	SH	0	0	0
ZOETIS INC.	com	98978v103	422396	SOLE	4938	SH	0	0	0
